loop,loop_back,length,song_count,total_occurrences,walk_constraints,example_chord_instance,example_songs
dom7 fifth leadingTone leadingTone,→ leadingTone (closes),4,20,39,fifth|dom7|leadingTone,A D A G#dim A,joel billy - piano man|doors the - touch me|BareNaked Ladies - One Week|The Cars - you might think|Eric Clapton - let it grow|Eagles - Wasted Time|Christina Aguilera - Come On Over|Collective Soul - precious declaration
borrowed dom7 diatonic diatonic,→ diatonic (closes),4,20,32,diatonic|borrowed|dom7,Am E A Bm Am,Metallica - master of puppets|earth wind fire - boogie wonderland|led zepplin - good times bad times|Bon Jovi - always|Beatles - ticket to ride|Santana - Black Magic Woman|Eric Clapton - i shot the sheriff|Duran Duran - A View to a Kill
borrowed diatonic diatonic dom7,→ dom7 (closes),4,20,47,diatonic|borrowed|dom7,G A# C Dm G,doors the - people are strange|nirvana - lounge act|U2 - One|jackson michael - earth song|led zepplin - when the levee breaks|weezer - the good life|live - selling the drama|Sarah McGlachlan - Adia
diatonic relative leadingTone,→ leadingTone (closes),3,20,24,diatonic|relative|leadingTone,A#dim G#m B A#dim,ABBA - dancing queen|Billy Joel - Piano Man|Sting - shape of my heart|MatchBox 20 - Push|Alice In Chains - i stay away|Bush - machine head|Shawn Colvin - sunny came home|nine inch nails - suck
borrowed borrowed relative,→ relative (closes),3,20,45,relative|borrowed,Em B G Em,nirvana - in bloom|doors the - love her madly|SEAL - kiss from a rose|The Cars - just what i needed|radiohead - ripcord|Sheryl Crow - All I Wanna Do|Mariah Carey - emotions|Eagles - Witchy Woman
borrowed diatonic tritoneSub,→ tritoneSub (closes),3,20,48,diatonic|borrowed|tritoneSub,F G# F# F,aerosmith - dream on|dire straits - sultans of swing|who the - pinball wizard|jackson michael - smooth criminal|Queen - the miracle|Foreigner - Feels Like the First Time|Backstreet Boys - all i have to give|Phil Collins - easy lover
diatonic relative dom7 fifth fifth,→ fifth (closes),5,19,28,fifth|diatonic|relative|dom7,A# Cm D# G# D# A#,green day - when i come around|joel billy - piano man|inxs - never tear us apart|john elton - crocodile rock|Metallica - hero of the day|mclachlan sarah - building a mystery|Barry Manilow - Mandy|Madonna - don't cry for me argentina
diatonic relative dom7 dom7,→ dom7 (closes),4,19,64,diatonic|relative|dom7,F# Fm G# C# F#,Billy Joel - Piano Man|Eric Clapton - cocaine|Duran Duran - come undone|rush - limelight|prince - i would die 4 u|john elton - candle in the wind|Bee Bees - too much heaven|beegees - too much heaven
diatonic diatonic tritoneSub dom7,→ dom7 (closes),4,18,66,diatonic|dom7|tritoneSub,D#m C# B A# D#m,who the - pinball wizard|jackson michael - smooth criminal|Beach Boys - good vibrations|richie lionel - hello|Mariah Carey - hero|moore gary - still got the blues|Foreigner - Feels Like the First Time|lennox annie - sweet dreams
diatonic fifth dom7 dom7 relative,→ relative (closes),5,17,33,fifth|diatonic|relative|dom7,Dm C G C F Dm,Madonna - like a virgin|Mariah Carey - hero|Sarah McGlachlan - Angel|live - selling the drama|Beatles - misery|john elton - nikita|Bee Bees - massachusetts|beegees - massachusetts
borrowed dom7 relative relative,→ relative (closes),4,17,35,relative|borrowed|dom7,Am E Am C Am,led zepplin - when the levee breaks|Backstreet Boys - as long as you love me|stone temple pilots - creep|Eric Clapton - i shot the sheriff|Cake - frank sinatra|Eagles - Witchy Woman|Sheryl Crow - A Change Would Do You Good|Genesis - anyway
borrowed borrowed borrowed dom7,→ dom7 (closes),4,17,60,borrowed|dom7,G#m D# G D# G#m,Foreigner - Cold as Ice|Queen - innuendo|Bryan Adams - Please Forgive Me|Madonna - take a bow|stone temple pilots - big bang baby|miami sound machine - conga|Garth Brooks - thunder rolls|Backstreet Boys - we got it going on
diatonic parallel dom7 dom7,→ dom7 (closes),4,17,29,diatonic|parallel|dom7,E F# F#m B E,foo fighters - monkey wrench|Bryan Adams - heaven|pearl jam - yellow leadbetter|red hot chilli peppers - my friends|john elton - daniel|green day - walking contradiction|Phil Collins - sussudio|police - bring on the night
borrowed dom7 dom7 diatonic,→ diatonic (closes),4,17,34,diatonic|borrowed|dom7,F A Dm G F,Beatles - yesterday|Blur - girls and boys|spice girls - say you'll be there|spice girls - say you ll be there|Beatles - there's a place|Ben Folds Five - song for the dumped|prince - i feel for you|beegees - don't forget to remember
chromaticMediant chromaticMediant,→ chromaticMediant (closes),2,17,64,chromaticMediant,Fm Dm Fm,doors the - light my fire|Alice In Chains - nutshell|rage against the machine - know your enemy|jackson michael - earth song|rush - yyz|tool - intolerance|pearl jam - animal|Def Leppard - armageddon it
diatonic diatonic dom7 dom7 dom7,→ dom7 (closes),5,16,28,diatonic|dom7,G F Em Am D G,a-ha - take on me|los del rios - macarena|joel billy - new york state of mind|Billy Joel - You May Be Right|Joe Cocker - up where we belong|Garth Brooks - the river|van morrison - have i told you lately that i love you|Rod Stewart - Someone Like You
diatonic relative relative dom7 dom7,→ dom7 (closes),5,16,22,diatonic|relative|dom7,C# D#m F# D#m G# C#,dire straits - brothers in arms|toto - rosanna|Bee Bees - too much heaven|beegees - too much heaven|ZZ Top - Rough Boy|Mariah Carey - open arms|Genesis - A Trick of the Tail|Sting - The Soul Cages
dom7 fifth dom7 fifth parallel,→ parallel (closes),5,16,24,fifth|parallel|dom7,C#m F# C# F# C# C#m,pearl jam - yellow leadbetter|presidents of the usa - peaches|Collective Soul - shine|Rollin STones - Miss You|rolling stones - miss you|Sting - fragile|no doubt - hey you|offspring - amazed
diatonic leadingTone relative,→ relative (closes),3,16,33,diatonic|relative|leadingTone,Em F#dim G Em,Bon Jovi - bed of roses|Beatles - and your bird can sing|Enigma - return to innocence|Mariah Carey - someday|BTO - Let It Ride|Collective Soul - precious declaration|Hanson - thinking of you|dave matthews band - stay
diatonic fifth relative relative fifth,→ fifth (closes),5,15,20,fifth|diatonic|relative,G F C Am C G,Sting - Fields Of Gold|MatchBox 20 - Real World|Bruce Hornsby - The Way It Is|green day - 2000 light years away|rogers kenny - lady|Pointer Sisters - Slow Hand|Huey Lewis - Stuck With You|emerson lake and palmer - father christmas
borrowed dom7 dom7 fifth diatonic,→ diatonic (closes),5,14,28,fifth|diatonic|borrowed|dom7,G E A D A G,Rollin STones - Beast of Burden|Billy Joel - New York State of Mind|Allman Brothers Band - jessica|steve miller band - rock'n me|Billy Joel - Goodnight Saigon|Eagles - Heartache Tonight|yes - and you and i|Rollin STones - Get off my Cloud
diatonic diatonic dom7 fifth relative,→ relative (closes),5,14,26,fifth|diatonic|relative|dom7,Em F G C G Em,CCR - Up Around The Bend|righteous brothers - unchained melody|fleetwood mac - little lies|Asia - only time will tell|Bryan Adams - Cuts Like A Knife|Garth Brooks - callin baton rouge|Cranberries - Cordell|Celine Dion - Im Your Angel
diatonic relative relative dom7 relative,→ relative (closes),5,14,25,diatonic|relative|dom7,Dm C Am C F Dm,Queen - bohemian rhapsody|Queen - Queen Bohemian Rhapsody|steve miller band - abracadabra|nazereth - love hurts|van morrison - into the mystic|Beatles - misery|john elton - nikita|Billy Joel - Allentown
diatonic diatonic fifth diatonic relative,→ relative (closes),5,14,23,fifth|diatonic|relative,G# Gm G# D# Fm G#,Queen - bohemian rhapsody|Queen - Queen Bohemian Rhapsody|Celine Dion - Its All Coming Back To Me|dion celine - it's all coming back to me now|Counting Crows - anna begins|dave matthews band - crush|Jimmy Buffet - come monday|gaye marvin - mercy mercy me
dom7 fifth parallel parallel parallel,→ parallel (closes),5,13,13,fifth|parallel|dom7,Bm E B Bm B Bm,led zepplin - kashmire|pearl jam - yellow leadbetter|Def Leppard - armageddon it|def leppard - armageddon it|dave matthews band - too much|AC DC - for those about to rock|roxette - do you wanna go the whole way|pantera - suicide note part 1
diatonic diatonic relative fifth dom7,→ dom7 (closes),5,13,24,fifth|diatonic|relative|dom7,A G#m F#m A E A,Billy Joel - The Stranger|joel billy - the stranger|Madonna - oh father|Michael Bolton - go the distance|prince - dolphin|four seasons - walk like a man|Air Supply - Two Less Lonely People|Don Henley - end of innocence
borrowed diatonic diatonic diatonic dom7,→ dom7 (closes),5,13,17,diatonic|borrowed|dom7,C A G A G C,Queen - killer queen|Beatles - blackbird|oasis - roll with it|Beatles - the end|led zepplin - your time is gonna come|ugly kid joe - cats in the cradle|veruca salt - seether|john elton - nikita
borrowed dom7 fifth dom7 diatonic,→ diatonic (closes),5,13,23,fifth|diatonic|borrowed|dom7,B G# C# G# C# B,Europe - The Final Countdown|Bon Jovi - never say goodbye|Def Leppard - armageddon it|def leppard - armageddon it|Bryan Adams - When Youre Gone|Eric Clapton - white room|Rod Stewart - Stay With Me|weezer - undone the sweater song
borrowed borrowed fifth diatonic,→ diatonic (closes),4,13,17,fifth|diatonic|borrowed,E G B F# E,Eric Clapton - tears in heaven|Rollin STones - Angie|Beatles - i saw her standing there|van halen - right now|Christina Aguilera - I Turn To You|kiss - plaster caster|Hanson - where's the love|Hanson - where s the love
borrowed diatonic dom7 dom7,→ dom7 (closes),4,13,58,diatonic|borrowed|dom7,D F Em A D,Olivia Newton John - Hopelessly Devoted to You|Billy Joel - Tell Her About It|Beatles - this boy|platters - only you|beegees - how can you mend a broken heart|marley bob - jammin|Marc Anthony - Hasta Ayer|Duran Duran - a view to kill
borrowed borrowed diatonic fifth,→ fifth (closes),4,13,26,fifth|diatonic|borrowed,C E G F C,led zepplin - rock and roll|wall flowers - one headlight|rush - closer to the heart|Beatles - old brown shoe|Bee Bees - words|beegees - words|Genesis - follow you follow me|Hanson - where's the love
diatonic fifth relative dom7 fifth,→ fifth (closes),5,12,19,fifth|diatonic|relative|dom7,G Am Em G C G,Rollin STones - Wild Horses|Rollin STones - Angie|Metallica - hero of the day|Beatles - there's a place|Mariah Carey - open arms|yes - starship trooper|ABBA - my love my life|Beatles - there s a place
diatonic diatonic diatonic fifth relative,→ relative (closes),5,12,23,fifth|diatonic|relative,D# Fm D# Fm Cm D#,nirvana - scentless apprentice|led zepplin - no quarter|Tori Amos - corn flake girl|Ace Of Base - beautiful life|Foreigner - Double Vision|Metallica - wasting my hate|kiss - sure know something|Lou Bega - Mambo No 5
diatonic relative fifth fifth dom7,→ dom7 (closes),5,12,22,fifth|diatonic|relative|dom7,A# Cm D# A# F A#,radiohead - high and dry|Christofer Cross - Sailing|CCR - Someday Never Comes|Barry Manilow - Mandy|roxette - run to you|Phil Collins - groovy kind of love|Tori Amos - here in my head|Bryan Adams - Cloud No 9
diatonic relative dom7 relative,→ relative (closes),4,12,50,diatonic|relative|dom7,Bm C Am D Bm,radiohead - ripcord|Queen - one vision|Backstreet Boys - i'll never break your heart|Backstreet Boys - i ll never break your heart|dion celine - think twice|joel billy - this is the time|Bryan Adams - all for love|98 Degrees - I Do Cherish You
borrowed fifth diatonic parallel,→ parallel (closes),4,12,27,fifth|diatonic|borrowed|parallel,Gm D A G Gm,foo fighters - this is a call|Beatles - nowhere man|ABBA - thank you for the music|jackson michael - she's out of my life|Eric Clapton - white room|van halen - mean street|Ricky Martin - Shes All I Ever Had|Olivia Newton John - I Honestly Love You
borrowed diatonic fifth diatonic,→ diatonic (closes),4,12,14,fifth|diatonic|borrowed,C A G D C,SEAL - kiss from a rose|Harry Chapin - cats in the cradle|steve miller band - rock'n me|Eric Clapton - let it grow|Bee Bees - words|beegees - words|George Michael - Freedom|Duran Duran - Hungry Like a Wolf
borrowed tritoneSub diatonic,→ diatonic (closes),3,12,16,diatonic|borrowed|tritoneSub,G# B A# G#,jackson michael - billie jean|aerosmith - dream on|Queen - killer queen|jamiroquai - virtual insanity|oasis - whatever|Beatles - only a northern song|pearl jam - hail hail|Genesis - firth of fifth
borrowed borrowed diatonic,→ diatonic (closes),3,12,21,diatonic|borrowed,A#m F G# A#m,smashing pumpkins - today|jackson michael - earth song|weezer - the good life|hendrix jimi - manic depression|pink floyd - the trial|maryln manson - down in the park|rush - time and motion|Garth Brooks - thunder rolls
diatonic fifth dom7 fifth relative,→ relative (closes),5,11,21,fifth|diatonic|relative|dom7,G Am Em Am Em G,nirvana - rape me|Bon Jovi - it's my life|doors the - spanish caravan|Ace Of Base - beautiful life|ABBA - eagle|Genesis - A Trick of the Tail|rolling stones - can't be seen|rolling stones - can t be seen
borrowed diatonic diatonic fifth diatonic,→ diatonic (closes),5,11,17,fifth|diatonic|borrowed,A C D C G A,Billy Joel - Only the Good Die Young|Beatles - i don't want to spoil the party|prince - u got the look|Culture Club - Church of the Poison Mind|joel billy - baby grand|van halen - pleasure dome|doors the - crystal ship|moist - push
diatonic diatonic dom7 relative fifth,→ fifth (closes),5,11,18,fifth|diatonic|relative|dom7,Dm D# F A# Gm Dm,Enigma - return to innocence|U2 - New Years Day|garbage - super vixen|U2 - new year s day|Jimmy Buffet - changes in latitude|Garth Brooks - top gun|Righteoud Brothers - RighteousBrothers UnchainedMelody(60s)|Righteoud Brothers - RighteousBrothers UnchainedMelody6
borrowed dom7 diatonic dom7,→ dom7 (closes),4,11,23,diatonic|borrowed|dom7,F# A# D#m C# F#,Beatles - i saw her standing there|Queen - innuendo|kiss - beth|Beatles - i don't want to spoil the party|mamas and the papas - monday monday|ABBA - that's me|roxette - fading like a flower|Genesis - grand parade of lifeless packaging
dom7 leadingTone leadingTone fifth,→ fifth (closes),4,11,18,fifth|dom7|leadingTone,D G F#dim G D,nirvana - all apologies|oasis - stand by me|Billy Joel - Just the Way You Are|Eagles - Heartache Tonight|offspring - i choose|Mariah Carey - oh holy night|Billy Joel - BillyJoel JustWayYouAre|Chicago - chiyou
diatonic dom7 relative dom7,→ dom7 (closes),4,11,41,diatonic|relative|dom7,A G#m C#m E A,hendrix jimi - little wing|Bon Jovi - always|Duran Duran - Save a Prayer|marley bob - i shot the sheriff|houston whitney - so emotional|kiss - magic touch|kiss - i was made for lovin you|garbage - super vixen
diatonic diatonic dom7 relative,→ relative (closes),4,11,23,diatonic|relative|dom7,F# G#m A#m D#m F#,Rollin STones - Paint it Black|rolling stones - paint it black|Queen - friends will be friends|Celine Dion - Because You Loved Me|def leppard - women|yes - love will find a way|gaye marvin - mercy mercy me|Genesis - Paperlate
diatonic diatonic relative diatonic fifth,→ fifth (closes),5,10,13,fifth|diatonic|relative,Am A# Am C Dm Am,radiohead - karma police|dire straits - sultans of swing|Tori Amos - corn flake girl|doors the - spanish caravan|kiss - beth|Madonna - cherish|TLC - red light special|3t - i need you
borrowed dom7 fifth dom7 parallel,→ parallel (closes),5,10,19,fifth|borrowed|parallel|dom7,Fm C F C F Fm,radiohead - subterranean homesick alien|Beatles - something|extreme - more than words|Beach Boys - kokomo|Beatles - nowhere man|Joe Cocker - you are so beautiful|erasure - chains of love|Genesis - return of the giant hogweed
diatonic relative dom7 fifth dom7,→ dom7 (closes),5,10,11,fifth|diatonic|relative|dom7,Fm D# Cm Fm Cm Fm,nirvana - territorial pissings|nirvana - school|Foreigner - Waiting for a Girl Like You|Metallica - my friend of misery|garbage - push it|Ace Of Base - beautiful life|Foreigner - waiting|Phil Collins - don t lose my number
diatonic diatonic parallel parallel parallel,→ parallel (closes),5,10,12,diatonic|parallel,A#m G# A# A#m A# A#m,pearl jam - even flow|pearl jam - alive|Asia - heat of the moment|nine inch nails - eraser|jamiroquai - music of the mind|kiss - spit|red hot chilli peppers - roller coaster of love|pantera - suicide note part 1
diatonic fifth dom7 diatonic relative,→ relative (closes),5,10,23,fifth|diatonic|relative|dom7,A G D G F#m A,Eric Clapton - wonderful tonight|Beatles - we can work it out|prince - i wanna be your lover|rush - manhattan project|Depech Mode - strange love|depeche mode - strange love|Genesis - heathaze|erasure - man in the moon
borrowed diatonic diatonic diatonic fifth,→ fifth (closes),5,10,12,fifth|diatonic|borrowed,C D# F G F C,Tears for Fears - Head Over Heels|led zepplin - what is and what should never be|oasis - shakermaker|oasis - all around the world|Sarah McGlachlan - Building A Mystery|green day - my generation|Hanson - where's the love|Hanson - where s the love
diatonic dom7 fifth relative dom7,→ dom7 (closes),5,9,17,fifth|diatonic|relative|dom7,Am G C G Em Am,weezer - in the garage|ABBA - does your mother know|Foreigner - I Want to Know What Love Is|MatchBox 20 - Bent|Genesis - throwing it all away|Beatles - real love|Foreigner - Foreigner I wanna know what love is|Billy Joel - BillyJoel Allentown
diatonic diatonic dom7 diatonic relative,→ relative (closes),5,9,12,diatonic|relative|dom7,F#m E F#m B A F#m,led zepplin - stairway to heaven|Rollin STones - Sympathy for the Devil|dire straits - brothers in arms|Foreigner - Waiting for a Girl Like You|green day - in the end|Genesis - lilywhite lilith|Air Supply - Two Less Lonely People|Foreigner - waiting
chromaticMediant chromaticMediant chromaticMediant chromaticMediant,→ chromaticMediant (closes),4,9,22,chromaticMediant,Fm Dm Fm Dm Fm,doors the - light my fire|rage against the machine - know your enemy|tool - intolerance|smashing pumpkins - bodies|2 Unlimited - twilight zone|van halen - aftershock|nirvana - in his hands|everlast - what it s like
borrowed borrowed diatonic dom7,→ dom7 (closes),4,9,11,diatonic|borrowed|dom7,D B G A D,"joel billy - just the way you are|ABBA - thank you for the music|stone temple pilots - lady picture show|Ben Folds Five - julianne|SEAL - dreaming in metaphors|rolling stones - black is black|Billy Joel - Joel, Billy Just the way you are|Madonna - Madonna ThisUsedToBeMyPlayground"
borrowed relative diatonic diatonic,→ diatonic (closes),4,9,13,diatonic|relative|borrowed,E G Em D E,"pantera - cemetary gates|rolling stones - as tears go by|Genesis - lilywhite lilith|van halen - me wise magic|rimes leann - how do i live|COUNTRY - Rimes,LeAnn HowDoILive|COUNTRY - Rimes,LeAnn HowDoILive1|jethro tull - as the tears go by"
borrowed fifth relative dom7,→ dom7 (closes),4,9,20,fifth|relative|borrowed|dom7,F# A E C#m F#,aerosmith - dream on|def leppard - photograph|oasis - whatever|stone temple pilots - lady picture show|marley bob - jammin|mike and the mechanics - word of mouth|oasis - wonder wall|Elvis - elvis
diatonic tritoneSub parallel,→ parallel (closes),3,9,16,diatonic|parallel|tritoneSub,C#m D C# C#m,weezer - say it ain't so|Sting - fragile|moore gary - still got the blues|Genesis - firth of fifth|emerson lake and palmer - fanfare for the common man|guns %26 roses - you could be mine|Beck - dead weight|weezer - say it ain t so
borrowed borrowed fifth dom7 fifth,→ fifth (closes),5,8,12,fifth|borrowed|dom7,E C A E A E,who the - pinball wizard|pet shop boys - always on my mind|Coolio - too hot|Genesis - return of the giant hogweed|2 Unlimited - are you ready for this|manilow barry - copacabana|pet shop boys - alwaysonmymind|rush - run2u 2
diatonic fifth relative relative relative,→ relative (closes),5,8,13,fifth|diatonic|relative,F Gm Dm F Dm F,"ABBA - summer night city|emerson lake and palmer - lucky man|soundgarden - bootcamp|Huey Lewis - I Want a New Drug|loeb lisa - stay|America - america I Need You sll|Robert Palmer - Palmer, Robert Bad case of lovin you|palmer robert - bad case of lovin you"
diatonic diatonic fifth dom7 relative,→ relative (closes),5,8,9,fifth|diatonic|relative|dom7,F#m G#m A E A F#m,"houston whitney - i will always love you|Phil Collins - groovy kind of love|rea chris - curse of the traveller|Air Supply - Two Less Lonely People|collins phil - groovy kind of love|Phil Collins - Collins, Phil Groovy kind of Love|Righteoud Brothers - RighteousBrothers SoulAndInspiration(60s)|Righteoud Brothers - RighteousBrothers SoulAndInspiration"
borrowed diatonic diatonic dom7 diatonic,→ diatonic (closes),5,8,13,diatonic|borrowed|dom7,A# G Am G C A#,Beatles - here comes the sun|Beatles - something|Beatles - blackbird|Billy Joel - Big Shot|Culture Club - Church of the Poison Mind|Genesis - ripples|pet shop boys - normally|wonder stevie - i've had the time of my life
borrowed borrowed borrowed fifth diatonic,→ diatonic (closes),5,8,12,fifth|diatonic|borrowed,A C A C G A,"Beatles - i want to hold your hand|foo fighters - this is a call|joel billy - just the way you are|Joe Cocker - summer in the city|rush - the weapon|joel billy - baby grand|Billy Joel - Joel, Billy Just the way you are|cocker joe - summer in the city"
diatonic fifth fifth fifth dom7,→ dom7 (closes),5,8,15,fifth|diatonic|dom7,B A E B F# B,Beatles - lovely rita|oasis - shakermaker|Mariah Carey - i ll be there|richie lionel - three times a lady|prince - dolphin|lewis huey and the news - power of love|carey mariah - i'll be there|joel billy - lullabye
borrowed borrowed dom7 fifth dom7,→ dom7 (closes),5,8,16,fifth|borrowed|dom7,G A# D G D G,Cranberries - dreams|Bee Bees - words|beegees - words|Mariah Carey - all i want for christmas|roxette - do you wanna go the whole way|Mariah Carey - All I Want|Queen - Queen Crazy little thing called love|carey mariah - all i want for christmas
diatonic diatonic relative dom7 fifth,→ fifth (closes),5,8,12,fifth|diatonic|relative|dom7,Em F G Em Am Em,"Europe - The Final Countdown|john elton - candle in the wind|jethro tull - cross eyed mary|Bryan Adams - Back To You|pet shop boys - liberation|Genesis - driving the last spike|richie lionel - three times a lady|Phil Collins - Collins, Phil Another day in paradise"
diatonic fifth diatonic fifth fifth,→ fifth (closes),5,8,20,fifth|diatonic,E F#m C#m D A E,Christofer Cross - Sailing|Bryan Adams - Please Forgive Me|pet shop boys - go west|Mariah Carey - i ll be there|toto - i will remember|def leppard - blood runs cold|pet shop boys - go west2|carey mariah - i'll be there
borrowed fifth dom7 diatonic fifth,→ fifth (closes),5,8,22,fifth|diatonic|borrowed|dom7,A C G C D A,Cranberries - Linger|led zepplin - what is and what should never be|oasis - all around the world|roxette - paint|Genesis - never a time|stone temple pilots - trippin on a hole in a paper heart|kiss - rock and roll allnite|lennox annie - would i lie to you
dom7 relative dom7 tritoneSub,→ tritoneSub (closes),4,8,12,relative|dom7|tritoneSub,D# G#m B E D#,Beatles - carry that weight|Joe Cocker - the letter|Backstreet Boys - get down|Backstreet Boys - quit playing games|Marc Anthony - Vivir Lo Nuestro|Ray Charles - what i say|charles ray - what i say|cocker joe - the letter
diatonic relative parallel dom7,→ dom7 (closes),4,8,12,diatonic|relative|parallel|dom7,D C Am A D,steve miller band - fly like an eagle|Beatles - the end|Queen - the miracle|SEAL - Fly Like An Eagle|Eric Clapton - sunshine of your love|Eric Clapton - rollin and tumblin|clapton eric - rollin and tumblin|clapton eric - sunshine of your love
diatonic relative dom7 parallel,→ parallel (closes),4,8,16,diatonic|relative|parallel|dom7,Am G Em A Am,"Def Leppard - Love Bites|Billy Joel - Allentown|Eagles - the girl from yesterday|wonder stevie - my cherie amor|hornsby bruce - china doll|Billy Joel - BillyJoel Allentown|Duran Duran - the girl from yesterday|Lionel Richie - Richie,Lionel Hello1"
leadingTone leadingTone relative relative,→ relative (closes),4,8,8,relative|leadingTone,G F#dim G Em G,Madonna - papa don't preach|Madonna - papa don t preach|Michael Bolton - when a man loves a woman|Eagles - Heartache Tonight|Genesis - horizons|joel billy - big man on mulberry street|Madonna - Madonna PapaDontPreach|bolton michael - when a man loves a woman
borrowed parallel dom7,→ dom7 (closes),3,8,13,borrowed|parallel|dom7,Dm A Am Dm,Beatles - come together|doors the - love her madly|nine inch nails - ruiner|Carpenters - top of the world|Genesis - behind the lines|guns %26 roses - estranged|guns %26 roses - mr brownstone|carpenters the - top of the world
diatonic diatonic diatonic diatonic dom7,→ dom7 (closes),5,7,15,diatonic|dom7,A B C#m D E A,ABBA - chiquitita|pet shop boys - heart|wonder stevie - ribbon in the sky|four seasons - walk like a man|Righteoud Brothers - RighteousBrothers You'veLostThatLovin'Feeling|Righteoud Brothers - RighteousBrothers You'veLostThatLovin'Feeling1|john elton - imstillstanding
dom7 dom7 fifth fifth parallel,→ parallel (closes),5,7,9,fifth|parallel|dom7,C#m F#m B F# C# C#m,jackson michael - black or white|Beatles - can't buy me love|Backstreet Boys - anywhere for you|Mariah Carey - now that i know|ABBA - name of the game|Beatles - can t buy me love|carey mariah - now that i know
borrowed dom7 dom7 dom7 dom7,→ dom7 (closes),5,7,27,borrowed|dom7,F# A# D# G# C# F#,"ABBA - that's me|ABBA - that s me|Barry Manilow - BarryManilow CantSmileWithoutYou|Bob Seger - BobSeger StillSame|COUNTRY - Rimes,LeAnn Blue|COUNTRY - Rimes,Leann Blue1|manilow barry - cant smile without you"
diatonic relative relative fifth relative,→ relative (closes),5,7,7,fifth|diatonic|relative,D Em G Em Bm D,ABBA - waterloo|Bee Bees - stayin alive|beegees - stayin alive|police - bring on the night|usher - nice and slow|yes - heart of sunrise|Righteoud Brothers - RighteousBrothers UnchainedMelody7
borrowed borrowed borrowed dom7 diatonic,→ diatonic (closes),5,7,11,diatonic|borrowed|dom7,G# F G# F A# G#,Alice In Chains - rooster|Genesis - i can't dance|Genesis - i can t dance|Genesis - I Cant Dance|joel billy - stiletto|BareNaked Ladies - Shoe Box|Madonna - Madonna BeautifulStrangerGecko
diatonic relative relative fifth fifth,→ fifth (closes),5,7,8,fifth|diatonic|relative,B A F#m A E B,Metallica - jump in the fire|Eagles - Lyin Eyes|Eagles - lyin' eyes|Queen - Queen We are the champions|Duran Duran - lyin' eyes|America - america Sister goldenhair|hornsby bruce - river flow
borrowed diatonic diatonic diatonic tritoneSub,→ tritoneSub (closes),5,7,13,diatonic|borrowed|tritoneSub,F G# F# Fm F# F,aerosmith - dream on|Backstreet Boys - all i have to give|Mariah Carey - make it happen|Beatles - abbey road medley|grant amy - everywhere i go|carey mariah - make it happen|doors the - 20th century fox
borrowed dom7 diatonic fifth dom7,→ dom7 (closes),5,7,19,fifth|diatonic|borrowed|dom7,C A D C G C,jackson michael - black or white|nazereth - love hurts|jamiroquai - alright|Mariah Carey - butterfly|yes - almost like love|Beat - butterfly|carey mariah - butterfly
borrowed borrowed borrowed diatonic diatonic,→ diatonic (closes),5,7,13,diatonic|borrowed,F# A# F# D# Fm F#,nirvana - pennyroyal tea|jamiroquai - virtual insanity|stone temple pilots - big bang baby|U2 - Hold Me Thrill Me Kiss Me|TLC - Redlight Special|rush - the weapon|Beat - jamaroqui virtual
borrowed borrowed borrowed borrowed dom7,→ dom7 (closes),5,7,12,borrowed|dom7,A C E G E A,aerosmith - sweet emotion|Beatles - i saw her standing there|stone temple pilots - big bang baby|rush - time and motion|Sting - epilogue nothing bout me|Big Mr - to be with you|carey mariah - miss you most at christmas time
borrowed borrowed dom7 diatonic diatonic,→ diatonic (closes),5,7,7,diatonic|borrowed|dom7,A# C# F A# C A#,Eric Clapton - tears in heaven|Beatles - i will|r kelly - i believe i can fly|Bee Bees - words|beegees - words|clapton eric - tears in heaven|lennox annie - sisters are doing it for themselves
diatonic dom7 fifth fifth fifth,→ fifth (closes),5,7,9,fifth|diatonic|dom7,G F A# F C G,pet shop boys - always on my mind|ub40 - higher ground|Bryan Adams - Have You Ever Really Loved|rolling stones - all over now|Mariah Carey - whenever|Elvis - bluehawaii|carey mariah - whenever
diatonic dom7 fifth relative fifth,→ fifth (closes),5,7,9,fifth|diatonic|relative|dom7,G Am Dm Am C G,houston whitney - greatest love of all|Phil Collins - against all odds|Metallica - low man's lyric|pearl jam - smile|Celine Dion - Immortality|Metallica - low man s lyric|collins phil - against all odds
diatonic diatonic dom7 fifth parallel,→ parallel (closes),5,7,24,fifth|diatonic|parallel|dom7,Dm C D G D Dm,"van halen - when it's love|Eagles - the girl from yesterday|primus - wynona s big brown beaver|van halen - when it s love|Huey Lewis - Workin for a Livin'|Duran Duran - the girl from yesterday|UNSORTED - Easton, Sheena For your eyes only"
borrowed fifth relative relative diatonic,→ diatonic (closes),5,7,8,fifth|diatonic|relative|borrowed,D F C Am C D,rolling stones - you can't always get what you want|guns %26 roses - back off bitch|police - every breath|Rollin STones - You Cant Always Get What|Sting - Police EveryBreathYouTake|Sting - evrybrth|Sting - evrybrth1
borrowed dom7 parallel parallel,→ parallel (closes),4,7,25,borrowed|parallel|dom7,Dm A Dm D Dm,nirvana - lithium|Metallica - wherever i may roam|led zepplin - when the levee breaks|Alice In Chains - killer is me|Marc Anthony - Vivir Lo Nuestro|Partridge Family - I Woke Up In Love This Morn|Foreigner - Foreigner Hot Blooded
