title,chord_count,chord_sequence,edge_type_sequence,edge_types_found,unmappable_chords
Pink - Just Give Me A Reason,146,Em D A D G C G Am G C Em C G C Em C G Em D A D Em D A D Em D A D G C G Dsus4 D G D Em D C Bm D Em D C Bm Dsus4 G C Em C G C Em C G Em D A D Em D A D Em D A D G C G Am C G Dsus4 D G D Em D C Bm Dsus4 G D Em D C Bm Dsus4 Em Bm C Dsus4 D Em Bm C Am7 Dsus4 G D Em D C Bm Dsus4 G D Em D C Bm Dsus4 G D Em D C Bm Dsus4 G D Em D C Bm Dsus4 G D Em Bm Dsus4 G D Em Bm Dsus4 Em D A D G C G Am G,diatonic fifth dom7 dom7 dom7 fifth diatonic diatonic dom7 _ _ fifth dom7 _ _ fifth relative diatonic fifth dom7 diatonic diatonic fifth dom7 diatonic diatonic fifth dom7 dom7 dom7 fifth fifth _ dom7 fifth diatonic diatonic diatonic diatonic relative diatonic diatonic diatonic diatonic relative dom7 dom7 _ _ fifth dom7 _ _ fifth relative diatonic fifth dom7 diatonic diatonic fifth dom7 diatonic diatonic fifth dom7 dom7 dom7 fifth diatonic relative fifth fifth _ dom7 fifth diatonic diatonic diatonic diatonic relative dom7 fifth diatonic diatonic diatonic diatonic relative diatonic fifth diatonic diatonic _ diatonic fifth diatonic relative dom7 dom7 fifth diatonic diatonic diatonic diatonic relative dom7 fifth diatonic diatonic diatonic diatonic relative dom7 fifth diatonic diatonic diatonic diatonic relative dom7 fifth diatonic diatonic diatonic diatonic relative dom7 fifth diatonic fifth relative dom7 fifth diatonic fifth relative diatonic diatonic fifth dom7 dom7 dom7 fifth diatonic diatonic,fifth|plagal|diatonic|relative|iiVI|borrowed|dom7|tritoneSub,
Pink Floyd - Comfortably Numb,78,Bm A G F# Em7 Bm A G F# Em7 Bm A G F# Em7 Bm D A D A C G C G D A D A C G C G A C G D A D A C G C G A C G D Bm A G F# Em7 Bm A G F# Em7 Bm D A D A C G C G D A D A C G C G A C G D,diatonic diatonic tritoneSub _ fifth diatonic diatonic tritoneSub _ fifth diatonic diatonic tritoneSub _ fifth relative fifth dom7 fifth borrowed fifth dom7 fifth fifth fifth dom7 fifth borrowed fifth dom7 fifth diatonic borrowed fifth fifth fifth dom7 fifth borrowed fifth dom7 fifth diatonic borrowed fifth fifth relative diatonic diatonic tritoneSub _ fifth diatonic diatonic tritoneSub _ fifth relative fifth dom7 fifth borrowed fifth dom7 fifth fifth fifth dom7 fifth borrowed fifth dom7 fifth diatonic borrowed fifth fifth,fifth|plagal|diatonic|relative|iiVI|borrowed|dom7|chromaticMediant|tritoneSub,
Pink Floyd - Wish You Were Here,26,C D Am G D C Am G C D Am G D C G Am G C D Am G D C G Am G,diatonic _ diatonic fifth diatonic relative diatonic dom7 diatonic _ diatonic fifth diatonic fifth diatonic diatonic dom7 diatonic _ diatonic fifth diatonic fifth diatonic diatonic,fifth|plagal|diatonic|relative|iiVI|borrowed|dom7,
Pink SweatS - At My Worst,64,C Am Dm G C Am Dm G C Am Dm G Cmaj7 Am7 Dm7 G C Am Dm G C Am Dm G Cmaj7 Am7 Dm7 G C Am Dm G C Am Dm G Cmaj7 Am7 Dm7 G C Am Dm G C Am Dm G Cmaj7 Am7 Dm7 G Cmaj7 Am7 Dm7 G Cmaj7 Am7 Dm7 G Cmaj7 Am7 Dm7 G,relative dom7 dom7 dom7 relative dom7 dom7 dom7 relative dom7 dom7 dom7 relative dom7 dom7 dom7 relative dom7 dom7 dom7 relative dom7 dom7 dom7 relative dom7 dom7 dom7 relative dom7 dom7 dom7 relative dom7 dom7 dom7 relative dom7 dom7 dom7 relative dom7 dom7 dom7 relative dom7 dom7 dom7 relative dom7 dom7 dom7 relative dom7 dom7 dom7 relative dom7 dom7 dom7 relative dom7 dom7,relative|dom7,
Powfu (feat. Beabadoobee) - Death Bed (Coffee For Your Head),23,C Cmaj7 Fmaj7 F7 C Cmaj7 Fmaj7 F7 C Cmaj7 Fmaj7 F7 C Cmaj7 Fmaj7 C Cmaj7 Fmaj7 F7 C Cmaj7 Fmaj7 F7,_ dom7 _ fifth _ dom7 _ fifth _ dom7 _ fifth _ dom7 fifth _ dom7 _ fifth _ dom7 _,fifth|plagal|dom7,
Procol Harum - A Whiter Shade of Pale,130,C Em Am C F Am Dm F C Em Am C F Am Dm F G Em G C Em Am C F Am Dm F G Em G C Em Am C F Am Dm G7 C Em Am C F Am Dm F G Em G C F C G7 C Em Am C F Am Dm F C Em Am C F Am Dm F G Em G C Em Am C F Am Dm F G Em G C Em Am C F Am Dm G7 C Em Am C F Am Dm F G Em G C F C G7 C Em Am C F Am Dm F C Em Am C F Am Dm F G Em G C F C G7 C,_ dom7 relative dom7 _ dom7 relative fifth _ dom7 relative dom7 _ dom7 relative diatonic relative relative dom7 _ dom7 relative dom7 _ dom7 relative diatonic relative relative dom7 _ dom7 relative dom7 _ dom7 dom7 dom7 _ dom7 relative dom7 _ dom7 relative diatonic relative relative dom7 dom7 fifth fifth dom7 _ dom7 relative dom7 _ dom7 relative fifth _ dom7 relative dom7 _ dom7 relative diatonic relative relative dom7 _ dom7 relative dom7 _ dom7 relative diatonic relative relative dom7 _ dom7 relative dom7 _ dom7 dom7 dom7 _ dom7 relative dom7 _ dom7 relative diatonic relative relative dom7 dom7 fifth fifth dom7 _ dom7 relative dom7 _ dom7 relative fifth _ dom7 relative dom7 _ dom7 relative diatonic relative relative dom7 dom7 fifth fifth dom7,fifth|plagal|diatonic|relative|borrowed|dom7,
Psycho Killer - Talking Heads,70,Am G Am G Am G Am G F G Am F G C F G A F G C F G Am G Am G Am G Am G F G Am F G C F G A F G C F G Bm G Bm G A G A G A G A G F G Am F G C F G A F G C F G,diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic _ diatonic dom7 dom7 diatonic diatonic borrowed diatonic dom7 dom7 diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic _ diatonic dom7 dom7 diatonic diatonic borrowed diatonic dom7 dom7 diatonic _ _ _ _ diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic _ diatonic dom7 dom7 diatonic diatonic borrowed diatonic dom7 dom7 diatonic,diatonic|iiVI|borrowed|dom7|chromaticMediant,
Pure Prairie League - Amie,85,A G D A G D A G D A D C D C E A G D A G D Bm E A G D A G D A G D A D C D C E A G D A G D Bm E D C D C E A G D A G D Bm E A G D A G D A G D A D C D C E A G D A G D Bm E Aadd2 G D,diatonic fifth fifth diatonic fifth fifth diatonic fifth fifth dom7 diatonic diatonic diatonic borrowed dom7 diatonic fifth fifth diatonic fifth relative dom7 dom7 diatonic fifth fifth diatonic fifth fifth diatonic fifth fifth dom7 diatonic diatonic diatonic borrowed dom7 diatonic fifth fifth diatonic fifth relative dom7 diatonic diatonic diatonic diatonic borrowed dom7 diatonic fifth fifth diatonic fifth relative dom7 dom7 diatonic fifth fifth diatonic fifth fifth diatonic fifth fifth dom7 diatonic diatonic diatonic borrowed dom7 diatonic fifth fifth diatonic fifth relative dom7 _ _ fifth,fifth|plagal|diatonic|relative|borrowed|dom7|chromaticMediant,Aadd2
Queen - We Are The Champions,82,Cm Gm7 Cm Gm7 Cm Gm7 Cm Gm7 Eb Ab Eb Ab Eb Bb Cm F Bb F Am Dm Bb C F Am Bb Gbdim7 F Ebadd9 Ab6 Bb7 Gm7 Fm Gm7 Fm Gm7 Fm Gm7 Cm Gm7 Cm Gm7 Cm Gm7 Cm Gm7 Eb Ab Eb Ab Eb Bb Cm F Bb F Am Dm Bb C7 F Am Bb Gbdim7 F Ebadd9 Ab6 Bb7 Gm7 F Am Dm Bb C7 F Am Bb Gbdim7 F Ebadd9 Ab6 Bb7 Gm7,fifth dom7 fifth dom7 fifth dom7 fifth _ dom7 fifth dom7 fifth fifth diatonic dom7 dom7 fifth _ dom7 _ diatonic dom7 _ diatonic _ _ _ _ _ relative diatonic diatonic diatonic diatonic diatonic diatonic dom7 fifth dom7 fifth dom7 fifth dom7 fifth _ dom7 fifth dom7 fifth fifth diatonic dom7 dom7 fifth _ dom7 _ diatonic dom7 _ diatonic _ _ _ _ _ relative diatonic _ dom7 _ diatonic dom7 _ diatonic _ _ _ _ _ relative,fifth|plagal|diatonic|relative|iiVI|borrowed|dom7,Gbdim7|Ebadd9|Ab6
Queen - You're My Best Friend,75,C F C F C F C F C F C F C G Am D F G C G Am D F G C F C G E Am D G6 G C F C F C F C F C F C G Am D F G C G Am D C F C G E Am D G6 G C F C F C G C G C G C G C,dom7 fifth dom7 fifth dom7 fifth dom7 fifth dom7 fifth dom7 fifth fifth diatonic dom7 borrowed diatonic dom7 fifth diatonic dom7 borrowed diatonic dom7 dom7 fifth fifth borrowed dom7 dom7 _ _ dom7 dom7 fifth dom7 fifth dom7 fifth dom7 fifth dom7 fifth fifth diatonic dom7 borrowed diatonic dom7 fifth diatonic dom7 diatonic dom7 fifth fifth borrowed dom7 dom7 _ _ dom7 dom7 fifth dom7 fifth fifth dom7 fifth dom7 fifth dom7 fifth dom7,fifth|plagal|diatonic|borrowed|dom7|chromaticMediant,G6
